is_delayed,estimated_year,count,% Total,% Year-Total
delayed,2018,12122935,22.514548918974565,59.99955951584357
on schedule,2018,6532725,12.132487436970345,32.33215573936008
early,2018,1549380,2.8774873249820123,7.668284744796348
early,2020,1439603,2.673610983429552,9.792823309428627
delayed,2020,8134259,15.106834456763904,55.332866866858154
on schedule,2020,5126730,9.521292771047149,34.874309823713226
on schedule,2019,7437293,13.812438743031047,39.269180604819766
delayed,2019,10044441,18.65439831676519,53.035017943149
early,2019,1457528,2.7069010480362357,7.695801452031235
