is_delayed,estimated_year_month,count,% Total,% Year-Total
delayed,2020-08,1287638,4.249401063671977,15.829813139709467
delayed,2020-02,868417,2.8659080607366567,10.676043140499953
delayed,2020-06,745268,2.4594976475691825,9.162088396742716
delayed,2020-01,981563,3.239307053893296,12.067024175158425
delayed,2020-09,1039328,3.4299403316025683,12.777168762391264
delayed,2020-07,1017451,3.3577429072721654,12.508219863665515
delayed,2020-04,831624,2.744485569838063,10.223721669054305
delayed,2020-05,606877,2.002786318296026,7.460753339671136
delayed,2020-03,756093,2.495221792487435,9.295167513107218
delayed,2018-04,883468,2.9155786478188386,7.28757516228537
delayed,2018-08,922820,3.045446227571549,7.612183023335521
delayed,2018-11,1054841,3.48113558888819,8.701201482974213
delayed,2018-09,1076607,3.552966696351534,8.880745463041746
delayed,2018-01,1070203,3.531832523228532,8.827919971525047
delayed,2018-10,1207982,3.986524159504924,9.96443518009459
delayed,2018-05,961981,3.1746834783007585,7.935215358327005
delayed,2018-06,855179,2.82222064914979,7.054224080224797
delayed,2018-03,906349,2.991089424712561,7.476316585051392
delayed,2018-07,906969,2.993135518924969,7.481430858121403
delayed,2018-02,1001184,3.304059335412099,8.258594144074847
delayed,2018-12,1275352,4.208855396746744,10.520158690944067
delayed,2019-10,766682,2.5301671015441904,7.632898635175417
delayed,2019-08,755466,2.4931525972113384,7.521234880069483
delayed,2019-05,772202,2.548383940338533,7.687854406233259
delayed,2019-03,821995,2.7127084066585847,8.18358134613962
delayed,2019-09,809683,2.672076935782508,8.061006082867129
delayed,2019-06,725018,2.3926695704703724,7.218102032756228
delayed,2019-11,695241,2.2944009456915446,6.921649497468301
delayed,2019-07,792134,2.614162569115495,7.886292527379074
delayed,2019-12,826774,2.7284798328539037,8.231159902278284
delayed,2019-04,863660,2.8502092378843584,8.598387904314436
delayed,2019-01,1185443,3.912142034579982,11.801980817050945
delayed,2019-02,1030143,3.3996284358913305,10.255851968267821
